Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
Binding_propertyName_replace,210,0,0,196,0,14,0,0
Total,,0,0,196,0,14
Total,210,210,,,,,0,0
