Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
SimpleOutPatternElement_bindings_delete,76,0,0,70,0,6,0,0
SimpleInPatternElement_varName_replace,18,0,0,18,0,0,0,0
Total,,0,0,88,0,6
Total,94,94,,,,,0,0
