Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
SimpleInPatternElement_type_replace,88,0,0,88,0,0,0,0
Total,,0,0,88,0,0
Total,88,88,,,,,0,0
