Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
SimpleOutPatternElement_type_replace,776,0,0,693,0,83,0,0
Total,,0,0,693,0,83
Total,776,776,,,,,0,0
