Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
SimpleOutPatternElement_varName_replace,30,0,0,30,0,0,0,0
Total,,0,0,30,0,0
Total,30,30,,,,,0,0
